hierarchy_id,child_id,parent_id
201,E01004418,E02000902
201,E01004419,E02000902
201,E01004413,E02000898
201,E01004414,E02000899
201,E01004417,E02000899
201,E01004415,E02000898
201,E01004421,E02000912
201,E01004424,E02000916
201,E01004423,E02000914
201,E01004427,E02000916
201,E01004425,E02000916
201,E01004426,E02000916
201,E01004422,E02000916
201,E01004420,E02000914
201,E01004435,E02000917
201,E01004428,E02000920
201,E01004429,E02000920
201,E01004430,E02000920
201,E01004434,E02000920
201,E01004432,E02000917
201,E01033153,E02000914
201,E01004441,E02000918
201,E01004439,E02000915
201,E01004440,E02000918
201,E01004437,E02000915
201,E01004436,E02000915
201,E01004438,E02000918
201,E01004442,E02000915
201,E01004448,E02000912
201,E01004449,E02000912
201,E01004445,E02000912
201,E01004446,E02000911
201,E01004447,E02000910
201,E01004443,E02000910
201,E01004444,E02000911
201,E01004454,E02000900
201,E01004456,E02000900
201,E01004451,E02000899
201,E01004450,E02000900
201,E01004452,E02000899
201,E01004453,E02000900
201,E01004455,E02000900
201,E01004461,E02000908
201,E01004458,E02000906
201,E01004462,E02000905
201,E01004463,E02000906
201,E01004460,E02000905
201,E01004459,E02000906
201,E01004457,E02000906
201,E01004467,E02000909
201,E01004466,E02000909
201,E01004470,E02000907
201,E01004471,E02000907
201,E01004464,E02000907
201,E01004468,E02000909
201,E01004469,E02000907
201,E01004465,E02000909
201,E01004477,E02000939
201,E01004472,E02000943
201,E01004475,E02000948
201,E01004473,E02000948
201,E01004479,E02000939
201,E01004474,E02000943
201,E01004478,E02000939
201,E01004476,E02000943
201,E01004480,E02000948
201,E01004482,E02000952
201,E01004488,E02000951
201,E01004487,E02000952
201,E01004483,E02000948
201,E01004484,E02000948
201,E01004485,E02000952
201,E01004486,E02000948
201,E01004489,E02000952
201,E01004481,E02000951
201,E01004492,E02000953
201,E01004494,E02000940
201,E01004497,E02000946
201,E01004495,E02000946
201,E01004496,E02000946
201,E01004498,E02000953
201,E01004491,E02000953
201,E01004490,E02000953
201,E01004493,E02000941
201,E01004506,E02000933
201,E01004507,E02000936
201,E01004504,E02000942
201,E01004501,E02000936
201,E01004500,E02000936
201,E01004503,E02000936
201,E01004499,E02000942
201,E01004502,E02000942
201,E01004505,E02000936
201,E01004515,E02000934
201,E01004508,E02000934
201,E01004511,E02000932
201,E01004509,E02000932
201,E01004514,E02000934
201,E01004510,E02000934
201,E01004512,E02000941
201,E01004513,E02000940
201,E01004520,E02000958
201,E01004522,E02000959
201,E01004519,E02000958
201,E01004521,E02000959
201,E01004523,E02000958
201,E01004524,E02000959
201,E01004516,E02000958
201,E01004517,E02000959
201,E01004518,E02000958
201,E01004526,E02000957
201,E01004529,E02000957
201,E01004532,E02000954
201,E01004528,E02000957
201,E01004527,E02000957
201,E01004533,E02000955
201,E01004525,E02000957
201,E01004530,E02000957
201,E01004531,E02000955
201,E01004539,E02000925
201,E01004534,E02000930
201,E01004541,E02000929
201,E01004536,E02000930
201,E01004535,E02000929
201,E01004537,E02000929
201,E01004538,E02000929
201,E01004540,E02000925
201,E01004550,E02000939
201,E01004544,E02000943
201,E01004542,E02000943
201,E01004545,E02000949
201,E01004543,E02000949
201,E01004547,E02000951
201,E01004546,E02000949
201,E01004549,E02000949
201,E01004548,E02000951
201,E01004559,E02000937
201,E01004555,E02000939
201,E01004551,E02000934
201,E01004552,E02000930
201,E01004553,E02000937
201,E01004554,E02000931
201,E01004556,E02000931
201,E01004558,E02000937
201,E01004557,E02000937
201,E01004560,E02000923
201,E01004563,E02000924
201,E01004562,E02000924
201,E01004564,E02000924
201,E01004565,E02000927
201,E01033132,E02000924
201,E01033100,E02000924
201,E01004567,E02000924
201,E01004566,E02000923
201,E01004573,E02000945
201,E01004576,E02000935
201,E01004574,E02000935
201,E01004569,E02000945
201,E01004568,E02000935
201,E01004572,E02000938
201,E01004570,E02000945
201,E01004571,E02000945
201,E01004575,E02000935
201,E01004577,E02000925
201,E01004580,E02000926
201,E01033099,E02000926
201,E01004583,E02000923
201,E01004582,E02000923
201,E01004584,E02000925
201,E01004581,E02000926
201,E01004579,E02000926
201,E01033133,E02000926
201,E01004590,E02000927
201,E01004592,E02000927
201,E01004586,E02000931
201,E01004589,E02000931
201,E01004588,E02000930
201,E01004587,E02000931
201,E01004585,E02000930
201,E01004591,E02000927
201,E01004601,E02000940
201,E01004593,E02000947
201,E01004595,E02000947
201,E01004598,E02000947
201,E01004599,E02000947
201,E01004600,E02000940
201,E01004594,E02000942
201,E01004596,E02000942
201,E01004597,E02000947
201,E01004608,E02000928
201,E01004607,E02000928
201,E01004604,E02000928
201,E01004602,E02000932
201,E01004609,E02000932
201,E01033135,E02000932
201,E01004605,E02000928
201,E01004606,E02000928
201,E01033093,E02000932
201,E01004614,E02000956
201,E01004612,E02000954
201,E01004611,E02000954
201,E01004613,E02000955
201,E01004610,E02000955
201,E01004615,E02000956
201,E01004617,E02000956
201,E01004616,E02000956
201,E01004618,E02000954
201,E01004626,E02000949
201,E01004619,E02000937
201,E01004623,E02000941
201,E01004621,E02000941
201,E01004620,E02000941
201,E01004622,E02000946
201,E01004624,E02000946
201,E01004625,E02000949
201,E01004627,E02000941
201,E01004632,E02000950
201,E01004634,E02000950
201,E01004637,E02000950
201,E01004636,E02000950
201,E01004628,E02000944
201,E01004629,E02000942
201,E01004630,E02000944
201,E01004631,E02000944
201,E01004633,E02000944
201,E01004635,E02000950
201,E01004640,E02000933
201,E01004642,E02000938
201,E01004638,E02000933
201,E01004639,E02000933
201,E01004644,E02000938
201,E01004645,E02000938
201,E01004643,E02000938
201,E01004641,E02000933
201,E01004649,E02000960
201,E01004648,E02000961
201,E01004651,E02000962
201,E01004647,E02000960
201,E01004650,E02000961
201,E01004646,E02000961
201,E01033607,E02000973
201,E01033606,E02000973
201,E01004652,E02000976
201,E01004656,E02000973
201,E01004654,E02000973
201,E01004653,E02000973
201,E01004662,E02000971
201,E01004661,E02000971
201,E01004657,E02000971
201,E01004663,E02000971
201,E01004658,E02000971
201,E01004659,E02000967
201,E01004660,E02000967
201,E01004667,E02000982
201,E01004666,E02000982
201,E01033599,E02000982
201,E01004668,E02000982
201,E01004669,E02000983
201,E01033597,E02000982
201,E01004665,E02000983
201,E01004670,E02000968
201,E01033605,E02000968
201,E01033601,E02000968
201,E01033602,E02000968
201,E01033603,E02000968
201,E01033604,E02000968
201,E01004674,E02000964
201,E01004677,E02000964
201,E01004678,E02000964
201,E01004679,E02000964
201,E01004675,E02000964
201,E01004676,E02000965
201,E01004686,E02000974
201,E01004682,E02000975
201,E01033593,E02000974
201,E01004681,E02000975
201,E01004683,E02000974
201,E01004680,E02000974
201,E01033594,E02000974
201,E01004684,E02000974
201,E01004691,E02000978
201,E01004687,E02000978
201,E01004690,E02000978
201,E01004692,E02000978
201,E01004689,E02000978
201,E01004688,E02000978
201,E01004693,E02000976
201,E01004696,E02000976
201,E01004700,E02000975
201,E01004698,E02000976
201,E01004695,E02000976
201,E01004694,E02000975
201,E01004697,E02000975
201,E01004699,E02000976
201,E01033600,E02000966
201,E01004703,E02000966
201,E01033608,E02000966
201,E01004705,E02000966
201,E01004702,E02000968
201,E01004701,E02000966
201,E01004710,E02000961
201,E01004709,E02000966
201,E01004706,E02000965
201,E01004708,E02000965
201,E01004707,E02000965
201,E01004711,E02000961
201,E01004716,E02000970
201,E01004715,E02000972
201,E01004712,E02000967
201,E01004713,E02000970
201,E01004717,E02000970
201,E01004714,E02000970
201,E01004718,E02000963
201,E01004722,E02000963
201,E01004719,E02000963
201,E01004720,E02000963
201,E01004723,E02000964
201,E01004721,E02000963
201,E01004730,E02000960
201,E01004724,E02000960
201,E01004725,E02000962
201,E01004727,E02000967
201,E01004726,E02000962
201,E01004729,E02000962
201,E01004728,E02000962
201,E01004732,E02000979
201,E01004733,E02000979
201,E01004734,E02000977
201,E01004735,E02000977
201,E01004736,E02000977
201,E01004731,E02000979
201,E01004741,E02000983
201,E01004738,E02000983
201,E01004742,E02000981
201,E01004737,E02000983
201,E01004740,E02000980
201,E01004747,E02000980
201,E01004744,E02000979
201,E01004748,E02000979
201,E01004746,E02000980
201,E01004743,E02000980
201,E01004745,E02000980
201,E01004752,E02000981
201,E01004753,E02000981
201,E01004750,E02000982
201,E01004749,E02000981
201,E01004751,E02000981
201,E01032513,E02000969
201,E01032512,E02000969
201,E01004757,E02000969
201,E01004760,E02000973
201,E01004756,E02000965
201,E01004755,E02000969
201,E01004754,E02000969
201,E01033596,E02000972
201,E01004761,E02000977
201,E01033595,E02000972
201,E01004762,E02000970
201,E01004763,E02000972
201,E01004765,E02000972
201,E01033030,E02000550
201,E01032743,E02000247
201,E01032764,E02000867
201,E01032765,E02000867
201,E01032770,E02006853
201,E01032771,E02006854
201,E01032773,E02006853
201,E01032775,E02000894
201,E01032776,E02000891
201,E01032777,E02000891
201,E01032778,E02000891
201,E01032779,E02000891
201,E01032782,E02006854
201,E01032785,E02000873
201,E01004284,E02000882
201,E01032789,E02000394
201,E01033085,E02000416
201,E01033098,E02000924
201,E01033101,E02000926
201,E01033146,E02000301
201,E01033208,E02000621
201,E01033325,E02000660
201,E01033424,E02000109
201,E01033487,E02000564
201,E01033492,E02000564
201,E01033493,E02000559
201,E01033570,E02000787
201,E01033573,E02000053
201,E01033574,E02000747
201,E01033575,E02000747
201,E01033576,E02000747
201,E01033578,E02000726
201,E01033579,E02000726
201,E01033582,E02000750
201,E01033589,E02000780
201,E01033590,E02000769
201,E01004739,E02000983
201,E01033598,E02000968
201,E01001790,E02000357
201,E01033728,E02006928
201,E01033730,E02006928
201,E01033731,E02000316
201,E01033732,E02006929
201,E01033733,E02006929
201,E01033734,E02000316
201,E01033736,E02000316
